article,summary
"Liputan6. com, Garut : Puluhan siswa Sekolah Menengah Atas Assidiqiyah, Garut, Jawa Barat, kesurupan, Senin ( 25/1 ). Peristiwa ini terjadi setelah jam istirahat sekolah usai. Saat pelajaran akan dimulai, seorang pelajar menjerit dan mengamuk. Siswa itu lalu dibawa ke unit kesehatan sekolah. Namun setelah dipindahkan, sejumlah siswa lainnya ikut menjerit histeris dan pingsan. Para guru kewalahan menangani puluhan siswa yang kesurupan ini. Kehebohan tersebut mereda setelah pihak sekolah memanggil orang pintar. Akibat kesurupan ini kegiatan belajar-mengajar dihentikan dan para siswa dipulangnya lebih awal. ( YNI/ANS ).","Puluhan siswa SMA Assidiqiyah, Garut, Jabar, mengalami kesurupan. Akibat kejadian ini kegiatan belajar-mengajar dihentikan dan siswa lainnya dipulangkan lebih awal."
"Liputan6. com, Jakarta : Hujan deras yang mengguyur Jakarta pada Sabtu ( 30/8 ) siang mengakibatkan kemacetan luar bisa di sejumlah kawasan. Sejumlah ruas jalan terendam air seperti Jalan Fatmawati, Jakarta Selatan. Antrean kendaraan mengular panjang. Hujan juga memicu banjir di kawasan Puloraya, Jaksel. Air setinggi satu meter lebih merendam kawasan yang kerap menjadi langganan banjir itu. Warga tidak mau mengungsi meski banjir mulai meninggi. Badan Metereologi dan Geofisika memprediksi hujan lebat dan angin kencang masih akan terjadi hingga dua hari mendatang. Kondisi ini menjadi peringatan bagi Pemerintah DKI Jakarta dan juga masyarakat agar tidak sembarangan mendirikan bangunan yang justru menghilangkan daerah resapan air. ( TOZ/Tim Liputan 6 SCTV ).","Sejumlah ruas jalan terendam air seperti Jalan Fatmawati, Jakarta Selatan. Antrean kendaraan mengular panjang. Hujan juga memicu banjir di kawasan Puloraya, Jaksel."
"Menguasai bola hampir sepanjang pertandingan, Arema Malang gagal menaklukkan Persik Kediri dalam pertandingan terakhir babak 8 Besar Grup A di Stadion Manahan Solo. Arema yang baru mengumpulkan poin 3 memang membutuhkan kemenangan agar mereka bisa lolos ke babak semifinal. Hasil seri tidaklah cukup bagi Singo Edan untuk membuat mereka lolos, karena pada saat yang bersamaan, PSIS Semarang yang juga mempunyai poin 3 sedang menghadapi Persiba Balikpapan di Batang. Sementara, bagi Persik, hasil imbang sudah cukup mengantarkan mereka ke semifinal meski mungkin tak menjadikan mereka juara group, karena anak-anak asuh Daniel Rukito itu sudah mengantongi poin 4, hasil kemenangan atas PSIS dan seri melawan Persiba Balikpapan. Pertandingan keempat tim ini menurut jadwal seharusnya dilaksanakan kemarin pada tempat dan waktu yang sama. Akan tetapi, melubernya penonton di stadion Abdulrahman Saleh Batang hingga masuk ke pinggir lapangan, membuat kubu Persiba meradang dan meminta pertandingan ditunda hingga penonton bisa meninggalkan daerah itu. Penundaan pertandingan di Batang menyebabkan pertandingan di Solo juga ditunda untuk menghindari salah satu tim bermain mata dengan tim lainnya karena mengetahui hasil yang diperoleh pesaingnya. Dan akhirnya, pertandingan keempat tim itu ditunda hingga hari ini. Sejak menit awal, Beni Dolo yang menurunkan Marthen Tao di lini depan mencoba meraih kemenangan dengan mencuri gol terlebih dahulu. Akan tetapi tangguhnya lini pertahanan Persik membuat para penyerang Arema tak mampu menembusnya. Bahkan ketika pemain-pemain belakang mereka seperti Alexander Pulalo ikut membantu penyeranganpun, hasilnya tetap saja nihil. Absennya Franco Hita di babak pertama membuat penyerangan Singo Edan tak terlalu tajam, meskipun di situ masih ada nama-nama tangguh seperti Joao Carlos dan Firman Utina yang rajin melakukan serangan. Sebaliknya, kubu Persik juga tak mampu membahayakan gawang Arema yang dijaga Kurnia Sandi. Duet striker Budi Sudarsono dan Cristian Gonzalez tak mampu berbuat banyak di kotak penalti Arema. Masuknya Franco Hita di pertengahan babak kedua membuat serangan Arema makin meningkat. Sebaliknya, Persik terlihat memilih untuk bertahan, dengan sesekali melakukan serangan balik. Dan akhirnya, impian arek-arek Malang untuk menjuarai Liga Indonesia musim ini kandas satu menit sebelum babak kedua berakhir. Serangan balik Persik yang dilakukan melalui kaki Ebi Sukore dari sebelah kanan pertahanan Arema. Ebi melakukan umpan silang ke arah mulut gawang Kurnia Sandi. Seorang pemain belakang Arema berusaha untuk mengusir bola. Tetapi sayangnya, arah bola malah mengarah kepada kapten Persik Hariyanto yang langsung melakukan tendangan ke mulut gawang Kurnia Sandi tanpa bisa ditahan lagi. Satu-satunya gol Persik yang terjadi di penghujung pertandingan itu, selain mengandaskan impian Arema, tetapi juga menempatkan Persik sebagai pemuncak klasemen Grup A dengan poin 7, yang nantinya akan bertemu dengan Runner up Grup B Persmin Minahasa. Sementara itu di Batang, PSIS Semarang, seperti yang diperkirakan sebelumnya, berhasil menaklukkan Persiba Balikpapan. Persiba melakukan perlawanan yang cukup membuat repot barisan pertahanan PSIS dan sebaliknya, pertahanan PSIS juga sulit ditembus oleh para penyerang Mahesa Jenar. Satu-satunya gol yang membuat PSIS lolos ke semifinal diciptakan oleh gelandang asal Argentina, Ortiz melalui titik penalti, pada menit ke-63. Satu gol itu cukup mengantarkan PSIS untuk mendampingi Persik ke semifinal dan akan menghadapi Juara Grup B, Persekabpas Pasuruan yang hari Sabtu lalu berhasil menggunduli tim tangguh PSM Makassar dengan skor telah 5-1. ( Yog ).","Satu-satunya gol yang diciptakan kapten kesebelasan Hariyanto, membuat Persik unggul atas Arema Malang dan memastikan lolos ke semifinal sebagai juara grup. Persik akan didampingi PSIS Semarang yang menaklukkan Persiba 1-0."
"Liputan6. com, Jakarta : Hingga kini, belum diketahui motif pembunuhan Jaksa Muda Kejaksaan Tinggi Sulawesi Tengah Ferry Silalahi. Kejaksaan Agung masih menunggu hasil otopsi korban yang baru dilakukan hari ini. "" Jadi, kita masih belum tahu motifnya apa, "" jelas Kepala Bidang Hubungan Media Massa Kejaksaan Agung Ria Fadjariah di Jakarta, Kamis ( 27/5 ). Sebelumnya, Kepala Polri Jenderal Polisi Da i Bachtiar juga belum bisa memastikan motif di balik penembakan itu [ baca : Jaksa Muda Kejati Sulteng Tewas Ditembak ]. "" Apa ada hubungan dengan jabatan yang bersangkutan, atau memang ada sebab lain, ini masih dalam penyelidikan, "" tegas Da i. ( ZAQ/Yoseph Herhudi Lestari ).",Kepala Bidang Hubungan Media Massa Kejaksaan Agung Ria Fadjariah mengaku belum mengetahui motif di belakang pembunuhan Jaksa Muda Sulteng Ferry Silalahi. Kejagung masih menunggu hasil otopsi korban.
"Menyusul pengunduran diri ketua federasi sepak bola Italia ( FIGC ), Franco Carraro, kini mundur pula wakil organisasi tersebut, Innocenzo Mazzini. Pengunduran petinggi FIGC itu ditengarai masih terkait skandal rekaman percakapan telepon direktur umum Juventus, Luciano Moggi, yang diduga berhubungan dengan upaya pengaturan pertandingan. Dalam surat pengunduran dirinya, Mazzini menyatakan bahwa ia merasa sudah "" sangat tidak nyaman "". Dan tujuan pengunduran dirinya itu supaya bisa menjernihkan sejumlah kesalahpahaman yang telah terjadi. Sebelumnya, pihak FIGCjuga telah melakukan pertemuan untuk membahas pengunduran diri Carraro. Namun, belum diketahui apa hasil dari pertemuan tersebut. Sebelum mengundurkan diri, dikabarkan Mazzini sempat mengadakan pembicaraan dengan Direktur Umum Juventus, Luciano Moggi. Dan percakapan Mazzini dengan Moggi itu juga telah dimuat di berbagai media Italia. Di situ, Mazzini dan Moggi membahas pengunduran diri Carraro dan niat mengadakan pertemuan dengan delegasi Juventus. Moggi adalah pusat dari skandal percakapan telepon yang sedang hangat di Italia itu. Ia tengah dicurigai ikut mengatur wasit demi kepentingan Juventus di berbagai kompetisi. FIGC sendiri kabarnya memang telah melakukan penyelidikan atas Moggi sejak lama. Awalnya, FIGC menerima laporan dari kantor kejaksaan Turin, yang juga dikirimkan ke kejaksaan Roma, dan UEFA. Masalah yang kemudian merebak menjadi headline di media-media Italia itu berawal dari tersiarnya transkrip rekaman hasil penyadapan pembicaraan telepon Luciano Moggi dengan beberapa orang penting di FIGC dan UEFA pada 2004. Dari rekaman itu, Moggi dicurigai terlibat dalam pengaturan wasit untuk kepentingan Juventus dalam beberapa kompetisi sepakbola. ( SH ).","Setelah ketua federasi sepak bola Italia, Franco Carraro, mundur, kini giliran wakilnya, Innocenzo Mazzani, yang melakukan langkah serupa. Siapa lagi akan jadi korban dari skandal percakapan telepon mencurigakan Direktur Umum Juventus itu ?"
"Liputan6. com, Kupang : Kecewa karena tak lulus ujian nasional, sejumlah siswa Sekolah Menengah Pertama Negeri 9 Kupang, Nusa Tenggara Timur, nekad menghancurkan kaca jendela dua ruangan kelasnya. Akibatnya, seorang siswa dijebloskan ke tahanan Kepolisian Sektor Kota Oebobo. Sejumlah guru yang melihat kejadian itu pun tak bisa berbuat banyak. Pihak sekolah akhirnya memutuskan untuk melaporkan peristiwa itu ke polisi. Dari 228 peserta ujian nasional di sekolah tersebut, hanya 71 siswa yang dinyatakan lulus. ( UPI/YUS ).","Sejumlah siswa SMPN 9 Kupang, NTT, menghancurkan kaca jendela dua ruangan kelas karena kecewa tak lulus ujian. Alhasil, seorang siswa dijebloskan ke tahanan Polsekta Oebobo."
"Liputan6. com, Jakarta : Tim Pemberantasan Tindak Pidana Korupsi menetapkan satu lagi tersangka kasus korupsi Dana Abadi Umat di Departemen Agama. Ketua Tim, Hendarman Supandji di Jakarta, Kamis ( 16/6 ) petang mengatakan tersangka baru ini berinisial Saham. Namun, sumber SCTV di Kejaksaan Agung mengatakan yang dimaksud adalah mantan Menteri Agama Said Agil Husin al Munawar. Hendarman yang juga Jaksa Agung Muda Tindak Pidana Khusus mengatakan, tersangka baru itu merekomendasikan penggunaan Dana Abadi untuk kepentingan internal. Status ini ditetapkan setelah memenuhi seluruh unsur tindak pidana dan memiliki cukup alat bukti. Kemarin, Taufik Kamil, mantan Direktur Jenderal Bimbingan Masyarakat Islam dan Penyelenggaraan Haji ditetapkan sebagai tersangka. Dia diduga menyalahgunakan kewenangannya dengan menilap dana haji periode 2003-2004 yang dikelola dalam Dana Abadi sekitar Rp 640 miliar [ baca : Mantan Dirjen Urusan Haji Menjadi Tersangka ]. ( TNA/Tim Liputan 6 SCTV ).",Bekas Menteri Agama Said Agil Husin al Munawar menjadi tersangka baru kasus korupsi dalam penyelenggaraan haji di Departemen Agama. Dia diketahui merekomendasikan penggunaan Dana Abadi Umat.
"Liputan6. com, Jakarta : Lomba lari sambil menggendong pasangan digelar di Gedung Expo, Semanggi, Jakarta Pusat, sejak Jumat ( 26/9 ). Lebih dari 40 pasangan lelaki dan perempuan yang menjadi peserta diharapkan dapat memecahkan rekor dunia. Pada lomba itu, sang pria harus berlari secepat mungkin menempuh jarak sepanjang 236 meter sambil menggendong pasangan wanitanya. Hingga saat ini, sejumlah pasangan sudah membukukan waktu tempuh kurang dari 50 detik. Itu lebih baik dari rekor dunia yang tercantum di Guinness Book of World Records, yaitu 55, 5 detik untuk jarak sejauh 235 meter. Hingga hari ini, pihak penyelenggara belum menentukan pemenang. Sebab, hingga berita ini ditulis, perlombaan masih berlangsung. Jika waktu yang dihasilkan pemenang lebih baik dari rekor dunia, penyelenggara berjanji akan mengusulkan menjadi rekor dunia. ( LIA/Miko Toro dan Haryo Dewanto ).","Sebanyak 40 pasangan pria-wanita menjadi peserta lari gendong di Semanggi, Jakarta Pusat. Menempuh jarak 236 meter, peserta lomba diharapkan dapat memecahkan rekor dunia."
"Di bawah kepemimpinan Ramon Calderon sebagai Presiden Klub, tampak jelas Real Madrid berupaya untuk mengubah citra buruk tim yang telah terpuruk dalam tiga musim terdahulu. Bersama-sama Predrag “ Pedja ” Mijatovic yang ditunjuknya sebagai Direktur Olahraga, Calderon kemudian membuat langkah signifikan dengan merekrut pelatih jempolan asal Italia, Fabio Capello. Sejumlah pemain kelas dunia direkrut klub di bursa transfer musim ini, seperti Fabio Cannavaro, Emerson, Ruud van Nistelrooy dan Jose Antonio Reyes. Dengan generasi baru itulah, Pedja sangat yakin Madrid akan kembali bangkit. “ Meskipun selama proses transfer, kami menemui kesulitan, kami akhirnya sangat puas dengan komposisi skuad sekarang yang kami miliki, ” kata Pedja dalam konferensi persnya bersama Calderon, di Santiago Bernabeu, Kamis, 7 September 2006. Pedja mengakui sulitnya untuk membentuk tim ideal dalam waktu relatif cepat. “ Kami memerlukan waktu lebih. Tapi saya yakinkan bahwa kami akan merebut semua gelar yang tersedia. Memang tidak mudah untuk itu. Yang pasti, para pendukung akan melihat tampilan kami jauh berbeda dibanding tiga musim terdahulu, ” tegas Pedja. Ketika ditanya tentang kegagalan Madrid memboyong tiga pemain top yang semula menjadi target utama, Kaka, Francesc Fabregas, dan Arjen Robben, Pedja berkilah pihaknya telah melakukan upaya maksimal untuk mendatangkan mereka bertiga. “ Pertanyaan yang selalu datang kepada saya adalah kapan Kaka dapat bergabung, ” kata Pedja yang mengakui kualitas playmaker Timnas Brasil itu. “ Kaka adalah pemain luar biasa. Sebenarnya ia sangat ingin datang ke sini, namun Milan bersikeras tidak akan menjualnya. Itulah yang terjadi, ” kata Pedja. Bagaimana dengan Cesc dan Robben ? “ Fabregas tetap bersikeras tinggal bersama Arsenal, klub yang telah diperkuatnya sejak ia masih sangat muda. Agennya pun mengatakan kepada kami, bahwa proses transfer tidak mungkin dapat diwujudkan, ” terang Pedja. “ Lain halnya dengan Robben. Kami memang tertarik dan hampir saja kami dapat memboyongnya. Namun, pada saat-saat terakhir kami mengubah pikiran dan memutuskan untuk memboyong Reyes, pemain yang punya karakter yang sama dengan Robben, ” kata Pedja. Selain berkomentar tentang tiga pemain tersebut, Pedja pun memastikan Madrid akan tetap memakai jasa Ronaldo yang sempat dispekulasikan kembali terbang ke Milan, dan mantan kapten Timnas Inggris, David Beckham. “ Tidak logis jika kami melepas Ronaldo, ” kata Pedja. “ Kami pun sangat senang dengan Beckham. Ia pemain yang profesional, ” tambahnya. Pada pertandingan pertama La Liga, meskipun bermain di kandang sendiri, Santiago Bernabeu, pasukan Capello tidak mampu memetik kemenangan dan hanya bermain imbang tanpa gol dengan Villarreal. “ Bukan momen yang tepat untuk menilai performa tim hanya berdasar satu pertandingan. Saya yakin mereka akan bangkit. Begitu pula dengan keyakinan para pendukung kami, ” jelas Pedja.","Direktur Olahraga Real Madrid, Predrag “ Pedja ” Mijatovic berjanji musim ini Los Blancos akan tampil beda dibanding tiga musim terdahulu. Dengan tambahan beberapa pemain top, Mijatovic memastikan Madrid akan memburu setiap gelar yang tersedia."
"Liputan6. com, Jakarta : Badan Pengawas Obat dan Makanan ( POM ) akan memberikan sanksi tegas pada PT Warisan yang memproduksi obat pelangsing tubuh Arma Sin Gang San Langsing Ayu. Sanksi akan dijatuhkan jika dalam satu bulan obat ini tak juga ditarik produsen obat asal Semarang, Jawa Tengah. Demikian dinyatakan Kepala Badan POM Sampurno di Jakarta, Selasa ( 23/8 ). Hingga kini, obat Arma Sin Gang San Langsing Ayu masih banyak beredar di pasaran. Padahal, POM sudah mengumumkan secara resmi penarikan izin produksi dan distribusi ramuan obat ini sejak 20 Agustus silam. Obat ini ditarik dari peredaran karena mengandung bahan kimia obat keras sibutramin hidroklorida yang berbahaya jika dikonsumsi tanpa pengawasan dokter. Terlebih bagi mereka yang mempunyai tekanan darah tinggi dan yang mempunyai sejarah medis pernah diserang stroke dan jantung [ baca : Obat Pelangsing Dosis Tinggi Ditarik dari Peredaran ]. Sampurno juga menyatakan, POM dalam waktu dekat juga akan menarik izin peredaran Seki, obat perangsang produksi perusahaan yang sama. Obat perangsang ini berbahaya dikonsumsi secara bebas karena mengandung sildenafil, zat aktif yang khasiatnya sama dengan Viagra. Zat ini berbahaya terutama bagi konsumen yang mengalami hipertensi. Sementara itu, POM juga membantah telah melarang dan menarik izin peredaran dan distribusi sepuluh jenis obat dari pasaran. Obat-obatan yang umumnya khusus mengobati penyakit ringan seperti flu dan sakit kepala itu dikabarkan melalui internet berbahaya karena dapat mengakibatkan ketidaksuburan. ( MAK/Tim Liputan 6 SCTV ).","PT Warisan yang memproduksi obat pelangsing tubuh Arma Sin Gang San Langsing Ayu akan diberi sanksi jika belum juga menarik obat itu. Hingga hari ini, obat yang dilarang Badan POM ini masih beredar."
